Dialogueacts_level1,Dialogueacts_level2,Dialogueacts_level3,Dialogueacts_level4,Dialogueacts_level5,slot0,slot1,slot2,slot3,slot4,slot5
Answer.negative,,,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",I think these type of movies are overrated because they are old. Don't you think that is the reason they are so popular?,,,,
Answer.TalkMore,Answer.change,Answer.continuation,Answer.change,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Yeah. What else did these films revolutionize about the industry?,"You know, say what you will about how they revolutionized the film industry, but in both cases the books were better.",I am in total agreement there. In most cases the movies pale in comparison to the books.,"Big magic, fantasy books are hard to condense. Take Lord of the Rings, the whole world could never have fit into just a couple books. It is really its own reality.",
Answer.TalkMore,Answer.joking_sarcastic,,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Yeah. What else did these films revolutionize about the industry?,You mean other than how to stir up controversy?,,,
Answer.TalkMore,Answer.elaboration,Answer.change,Answer.change,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Yeah. What else did these films revolutionize about the industry?,"The transition from black and white to color in Wizard of Oz really did draw the audience into the world of Oz. After reading the books, I think this was probably the most profound way to do that in film.","I think it's amazing how memorable any transition is with technology, it's like we'll always remember the very first smart phone, the first laptop, tablet, 3D movie... The Wizard of Oz was the first of it's kind just like those, which is what made it so amazing.",Do you remember how we used to get around in strange cities before we all had smartphones?,
Answer.TalkMore,,,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.","What do you think made ""Gone with the Wind"" seem authentic?",,,,
Answer.TalkMore,Answer.change,Answer.continuation,Answer.continuation,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Yeah. What else did these films revolutionize about the industry?,"You know, say what you will about how they revolutionized the film industry, but in both cases the books were better.",I am in total agreement there. In most cases the movies pale in comparison to the books.,"I think that even films that revolutionize the industry can still pale in how great they are, when compared to the book they come from.",
Answer.TalkMore,,,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Yeah. What else did these films revolutionize about the industry?,,,,
Answer.rhetorical,,,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",What do you think is the better movie? Its not cliche to ask if its Gone with the Wind or Wizard of Oz at all.,,,,
Answer.TalkMore,,,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",What do you like about these movies the best. The idea that they end on such a positive note all the time? I kind of like that too. Tell me why you like the endings?,,,,
Answer.negative,Answer.change,,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.","I don't think they look very good by today's standards, of course.",Do you remember the Carol Burnett Gone With the Wind sketch? Vicki Lawrence was pure gold in that.,,,
Answer.positive,,,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",I love movies like this. They are amazing. I wish I could see more like this in these days.,,,,
Answer.TalkMore,Answer.elaboration,,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Yeah. What else did these films revolutionize about the industry?,"The transition from black and white to color in Wizard of Oz really did draw the audience into the world of Oz. After reading the books, I think this was probably the most profound way to do that in film.",,,
Answer.TalkMore,Answer.change,Answer.elaboration,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Yeah. What else did these films revolutionize about the industry?,"You know, say what you will about how they revolutionized the film industry, but in both cases the books were better.",Remember when Harry Potter came out on film? I never liked the films near as much as I did the books. How can you fit a hole long book into an hour and a half?,,
Answer.TalkMore,Answer.elaboration,Answer.continuation,Answer.elaboration,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Yeah. What else did these films revolutionize about the industry?,"The transition from black and white to color in Wizard of Oz really did draw the audience into the world of Oz. After reading the books, I think this was probably the most profound way to do that in film.","I agree, I loved seeing her step from her house into the colorful world... it was mesmerizing.","The makeup was really good in The Wizard of Oz, too. I mean it's not like modern horror movie stuff, but the Scarecrow was really very effective, especially for the time.",
Answer.negative,Answer.elaboration,,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.","I don't think they look very good by today's standards, of course.","I think realism in today's films kind of make them bland. I think that's why Avatar was so popular, because of how vibrant the characters were, from a color standpoint.",,,
Answer.negative,Answer.continuation,,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.","I don't think they look very good by today's standards, of course.",That's the great thing about technicolor though! It's almost like modern art on film. The vibrancy is what makes it special.,,,
Answer.negative,,,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.","I don't think they look very good by today's standards, of course.",,,,
Answer.negative,Answer.joking_sarcastic,,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.","I don't think they look very good by today's standards, of course.",We always joke that you recognize an MGM musical more from the color than the soundtrack.,,,
Answer.TalkMore,Answer.elaboration,Answer.elaboration,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Yeah. What else did these films revolutionize about the industry?,"The transition from black and white to color in Wizard of Oz really did draw the audience into the world of Oz. After reading the books, I think this was probably the most profound way to do that in film.","Yeah, there was something so amazing about the witches and all of the different colors and the ruby slippers.",,
Answer.TalkMore,Answer.elaboration,Answer.continuation,Answer.continuation,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Yeah. What else did these films revolutionize about the industry?,"The transition from black and white to color in Wizard of Oz really did draw the audience into the world of Oz. After reading the books, I think this was probably the most profound way to do that in film.","I agree, I loved seeing her step from her house into the colorful world... it was mesmerizing.","And it may not have been especially innovative, but making The Wizard of Oz a musical was a really smart choice. They could use that to communicate the emotion much better than a straightforward movie.",
Answer.TalkMore,Answer.elaboration,Answer.continuation,Answer.joking_sarcastic,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Yeah. What else did these films revolutionize about the industry?,"The transition from black and white to color in Wizard of Oz really did draw the audience into the world of Oz. After reading the books, I think this was probably the most profound way to do that in film.","I agree, I loved seeing her step from her house into the colorful world... it was mesmerizing.","Yeah, although Dorothy herself seemed pretty mellow about it.",
Answer.TalkMore,Answer.elaboration,Answer.continuation,Answer.change,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Yeah. What else did these films revolutionize about the industry?,"The transition from black and white to color in Wizard of Oz really did draw the audience into the world of Oz. After reading the books, I think this was probably the most profound way to do that in film.","I agree, I loved seeing her step from her house into the colorful world... it was mesmerizing.",Did you see the new Oz movie they made with James Franco?,
Answer.TalkMore,Answer.elaboration,Answer.change,Answer.continuation,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Yeah. What else did these films revolutionize about the industry?,"The transition from black and white to color in Wizard of Oz really did draw the audience into the world of Oz. After reading the books, I think this was probably the most profound way to do that in film.","I think it's amazing how memorable any transition is with technology, it's like we'll always remember the very first smart phone, the first laptop, tablet, 3D movie... The Wizard of Oz was the first of it's kind just like those, which is what made it so amazing.","I know. I mean, the special effects in both those movies seem really hokey now, but I'm sure they were exciting at the time. Do you remember how cool we thought the Internet was when it first came out in the early 90s?",
Answer.negative,,,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.","I really can't stand watching ""The Wizard of Oz.""  It was good when I was a kid, but I grew out of it.",,,,
Answer.TalkMore,Answer.elaboration,Answer.change,Answer.elaboration,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Yeah. What else did these films revolutionize about the industry?,"The transition from black and white to color in Wizard of Oz really did draw the audience into the world of Oz. After reading the books, I think this was probably the most profound way to do that in film.","I think it's amazing how memorable any transition is with technology, it's like we'll always remember the very first smart phone, the first laptop, tablet, 3D movie... The Wizard of Oz was the first of it's kind just like those, which is what made it so amazing.","I agree. I wonder how many people had access to color screens at the time, though. Or did that matter?",
Answer.TalkMore,Answer.elaboration,Answer.continuation,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Yeah. What else did these films revolutionize about the industry?,"The transition from black and white to color in Wizard of Oz really did draw the audience into the world of Oz. After reading the books, I think this was probably the most profound way to do that in film.","I agree, I loved seeing her step from her house into the colorful world... it was mesmerizing.",,
Answer.TalkMore,Answer.change,Answer.continuation,Answer.elaboration,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Yeah. What else did these films revolutionize about the industry?,"You know, say what you will about how they revolutionized the film industry, but in both cases the books were better.",I am in total agreement there. In most cases the movies pale in comparison to the books.,"Books have a larger scope to show a story in though. They have as much or as little time as they need, no constraints on budgets when it comes to a fantasy world or effects. Take Harry Potter, the movies were huge, effects, just the whole thing all of them, massive. But the books were somehow bigger.",
Answer.TalkMore,Answer.elaboration,Answer.change,Answer.joking_sarcastic,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Yeah. What else did these films revolutionize about the industry?,"The transition from black and white to color in Wizard of Oz really did draw the audience into the world of Oz. After reading the books, I think this was probably the most profound way to do that in film.","I think it's amazing how memorable any transition is with technology, it's like we'll always remember the very first smart phone, the first laptop, tablet, 3D movie... The Wizard of Oz was the first of it's kind just like those, which is what made it so amazing.",Right. COLOR TV! It's the FUTURE!,
Answer.TalkMore,Answer.change,Answer.continuation,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Yeah. What else did these films revolutionize about the industry?,"You know, say what you will about how they revolutionized the film industry, but in both cases the books were better.",I am in total agreement there. In most cases the movies pale in comparison to the books.,,
Answer.TalkMore,Answer.change,Answer.joking_sarcastic,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Yeah. What else did these films revolutionize about the industry?,"You know, say what you will about how they revolutionized the film industry, but in both cases the books were better.",It's like watching reality in fast forward what with all of the action scenes so close together.,,
Answer.rhetorical,Answer.change,,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Who can honestly say they don't know who Dorothy or the Tin Man is?  These movies are memorable for a reason!,Did you know at the time there was only two color cameras for shooting owned by the studio?,,,
Answer.rhetorical,Answer.joking_sarcastic,,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Who can honestly say they don't know who Dorothy or the Tin Man is?  These movies are memorable for a reason!,Dorothy who?,,,
Answer.rhetorical,Answer.elaboration,,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Who can honestly say they don't know who Dorothy or the Tin Man is?  These movies are memorable for a reason!,Isn't it crazy to think they were being filmed at the same time?,,,
Answer.rhetorical,Answer.continuation,,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Who can honestly say they don't know who Dorothy or the Tin Man is?  These movies are memorable for a reason!,"There is a reason everyone knows who Judy Garland is, that's for sure.",,,
Answer.TalkMore,Answer.elaboration,Answer.change,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Yeah. What else did these films revolutionize about the industry?,"The transition from black and white to color in Wizard of Oz really did draw the audience into the world of Oz. After reading the books, I think this was probably the most profound way to do that in film.","I think it's amazing how memorable any transition is with technology, it's like we'll always remember the very first smart phone, the first laptop, tablet, 3D movie... The Wizard of Oz was the first of it's kind just like those, which is what made it so amazing.",,
Answer.positive,,,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.","I love ""The Wizard of Oz!""  There aren't many other movies that have the same longivity.",,,,
Answer.rhetorical,,,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Who can honestly say they don't know who Dorothy or the Tin Man is?  These movies are memorable for a reason!,,,,
Answer.TalkMore,Answer.continuation,,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Yeah. What else did these films revolutionize about the industry?,"Well, in the case of ""Gone with the Wind"" it was the first major motion picture to have a swear word in it.",,,
Answer.positive,,,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.","I agree, the color film was a game-changer at the time.",,,,
Answer.TalkMore,Answer.elaboration,Answer.joking_sarcastic,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Yeah. What else did these films revolutionize about the industry?,"The transition from black and white to color in Wizard of Oz really did draw the audience into the world of Oz. After reading the books, I think this was probably the most profound way to do that in film.","Yeah it's just so ""profound"" how sexist and degrading that movie is.",,
Answer.TalkMore,Answer.change,Answer.change,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Yeah. What else did these films revolutionize about the industry?,"You know, say what you will about how they revolutionized the film industry, but in both cases the books were better.","Talking about fast paced movies, I can't stand the animated movies that come out today. Call me slow but there's no way that I can keep track of all the stuff that's happening on screen.",,
Answer.TalkMore,Answer.change,,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Yeah. What else did these films revolutionize about the industry?,"You know, say what you will about how they revolutionized the film industry, but in both cases the books were better.",,,
Answer.TalkMore,Answer.change,Answer.continuation,Answer.joking_sarcastic,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Yeah. What else did these films revolutionize about the industry?,"You know, say what you will about how they revolutionized the film industry, but in both cases the books were better.",I am in total agreement there. In most cases the movies pale in comparison to the books.,"I'm pretty sure that is because Rowling used magic to condense that world down into pages, stuff you muggles would not understand.",
Answer.rhetorical,,,,,"""The Wizard of Oz"" and ""Gone with the Wind"" were amazing at the time in part because of the color cinematography.",Who wasn't blown away by these movies?,,,,
Answer.negative,Answer.elaboration,Answer.change,Answer.elaboration,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Oh come on, that movie is for nerds, losers who live in their mom's basement.",I've never heard as much laughter in a movie theater as I did for that picture.,I think all of the Monty Python moves are perfect for a game night.,"Monty Python some how can reach fifteen year old kids, decades after its release and at the same time make a posh fifty year old laugh just as loud.",
Answer.negative,Answer.elaboration,Answer.continuation,Answer.change,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Oh come on, that movie is for nerds, losers who live in their mom's basement.",I've never heard as much laughter in a movie theater as I did for that picture.,"Well that's true. I remember ""bring forth the shrubbery"" the best.","That scene is funny. I really like all of the Monty Plython movies though. And the other ones are funny, but not as well known as the Holy Grail.",
Answer.negative,,,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.",Some of their skits were pretty obscure due to their addictions I think.,,,,
Answer.negative,Answer.elaboration,Answer.continuation,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Oh come on, that movie is for nerds, losers who live in their mom's basement.",I've never heard as much laughter in a movie theater as I did for that picture.,"Well that's true. I remember ""bring forth the shrubbery"" the best.",,
Answer.negative,Answer.elaboration,Answer.continuation,Answer.joking_sarcastic,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Oh come on, that movie is for nerds, losers who live in their mom's basement.",I've never heard as much laughter in a movie theater as I did for that picture.,"Well that's true. I remember ""bring forth the shrubbery"" the best.","I just can't get that joke. My humor needs to be actually funny, you know?",
Answer.negative,Answer.elaboration,Answer.continuation,Answer.continuation,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Oh come on, that movie is for nerds, losers who live in their mom's basement.",I've never heard as much laughter in a movie theater as I did for that picture.,"Well that's true. I remember ""bring forth the shrubbery"" the best.","Yes I love that scene. I want to act it out every time I go gardening. You can tell I have a lot of shrubs, haha.",
Answer.negative,Answer.joking_sarcastic,Answer.continuation,Answer.continuation,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Oh come on, that movie is for nerds, losers who live in their mom's basement.","Maybe that's why I like it, I only moved out last month.",How has that been? Are you liking the freedom?,"Yeah, it's great. I love being able to do things on my own terms and not feel like anyone is breathing down my neck.",
Answer.negative,Answer.elaboration,,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Oh come on, that movie is for nerds, losers who live in their mom's basement.",I've never heard as much laughter in a movie theater as I did for that picture.,,,
Answer.negative,Answer.joking_sarcastic,Answer.continuation,Answer.joking_sarcastic,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Oh come on, that movie is for nerds, losers who live in their mom's basement.","Maybe that's why I like it, I only moved out last month.",How has that been? Are you liking the freedom?,"Ick, no, keep it away! Freedom, terrible, terrible freedom!",
Answer.negative,Answer.joking_sarcastic,Answer.continuation,Answer.change,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Oh come on, that movie is for nerds, losers who live in their mom's basement.","Maybe that's why I like it, I only moved out last month.",How has that been? Are you liking the freedom?,It's all right. It's really kind of a transitional thing. What I really want is to move to New York.,
Answer.negative,Answer.elaboration,Answer.change,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Oh come on, that movie is for nerds, losers who live in their mom's basement.",I've never heard as much laughter in a movie theater as I did for that picture.,I think all of the Monty Python moves are perfect for a game night.,,
Answer.rhetorical,,,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.",Is there anyone who doesn't know what the tardis is?,,,,
Answer.negative,Answer.elaboration,Answer.continuation,Answer.elaboration,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Oh come on, that movie is for nerds, losers who live in their mom's basement.",I've never heard as much laughter in a movie theater as I did for that picture.,"Well that's true. I remember ""bring forth the shrubbery"" the best.","For me, it's ""The knights who say Nicht"". That scene is amazing.",
Answer.negative,Answer.continuation,,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Oh come on, that movie is for nerds, losers who live in their mom's basement.",When John Cleese fell in the latrine I fell on the floor laughing.,,,
Answer.negative,Answer.elaboration,Answer.joking_sarcastic,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Oh come on, that movie is for nerds, losers who live in their mom's basement.",I've never heard as much laughter in a movie theater as I did for that picture.,You honestly do need to be quite familiar with dry humor to enjoy it... That and how easy it is to use ketchup packets for fake blood.,,
Answer.negative,Answer.elaboration,Answer.change,Answer.continuation,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Oh come on, that movie is for nerds, losers who live in their mom's basement.",I've never heard as much laughter in a movie theater as I did for that picture.,I think all of the Monty Python moves are perfect for a game night.,"Monty Python really bridged the gap between sort of high brow and low brow humor, it really hits the mark on all levels of funny, for just about any occasion.",
Answer.negative,Answer.joking_sarcastic,,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Oh come on, that movie is for nerds, losers who live in their mom's basement.","Maybe that's why I like it, I only moved out last month.",,,
Answer.negative,,,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Oh come on, that movie is for nerds, losers who live in their mom's basement.",,,,
Answer.negative,Answer.joking_sarcastic,Answer.elaboration,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Oh come on, that movie is for nerds, losers who live in their mom's basement.","Maybe that's why I like it, I only moved out last month.","Oh yeah that's right! Haha, maybe you'll grow out of the movie then.",,
Answer.negative,Answer.joking_sarcastic,Answer.joking_sarcastic,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Oh come on, that movie is for nerds, losers who live in their mom's basement.","Maybe that's why I like it, I only moved out last month.",It doesn't count as moving out when all you've done was move into your mother's basement.,,
Answer.negative,Answer.joking_sarcastic,Answer.continuation,Answer.elaboration,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Oh come on, that movie is for nerds, losers who live in their mom's basement.","Maybe that's why I like it, I only moved out last month.",How has that been? Are you liking the freedom?,"It's OK, having to earn enough to cover the rent kind of sucks, though.",
Answer.negative,Answer.joking_sarcastic,Answer.change,,,"I STILL think ""Monty Python and the Holy Grail"" is funny.","Oh come on, that movie is for nerds, losers who live in their mom's basement.","Maybe that's why I like it, I only moved out last month.",The funniest movie in my opinion is Austin Powers Goldmember.,,
